duration,pE,pN,pR,rwkesr2
1,.5226342,.1343483,.3882859,3
2,.4624546,.131431,.3310237,3
3,.4090737,.1180923,.2909814,3
4,.6483873,.2860524,.3623348,3
5,.3940697,.1465273,.2475424,3
6,.3577639,.1506457,.2071182,3
7,.3435183,.1875055,.1560128,3
8,.5865444,.4020824,.184462,3
1,.3166461,.2929679,.0236781,4
2,.2867276,.2767172,.0100104,4
3,.2932417,.2892123,.0040293,4
4,.3963906,.38669,.0097006,4
5,.2551875,.2536806,.0015068,4
6,.2608151,.2606811,.000134,4
7,.2656848,.2653753,.0003094,4
8,.3491966,.3491966,0,4
